origen;destino;a_ofertados;v_ofertados;distancia;tiempo;carreteras;n_tramos;riesgo;velocidad_media
Alcalá de Henares;Ajalvir;3.5;1.5;14809.0;1092.0;M-134,M-100;2;no;48.82
Alcalá de Henares;Alcobendas;2.53;1.07;31354.0;1978.0;M-100,R-2;2;no;57.06
Alcalá de Henares;Alcorcón;2.67;1.25;55536.0;2604.0;A-2,M-50,M-45;3;si;76.78
Alcalá de Henares;Algete;2.5;1.0;22903.0;1590.0;M-134,M-100,M-103;3;no;51.86
Alcalá de Henares;Ambite;3.0;1.0;30104.0;2224.0;M-204;1;no;48.73
Alcalá de Henares;Aranjuez;2.56;1.28;74286.0;3620.0;M-50,A-4,M-305;3;si;73.88
Alcalá de Henares;Arganda del Rey;3.03;1.26;24212.0;1840.0;Cuesta de Zulema,M-300,Paseo de la Ilusión;3;no;47.37
Alcalá de Henares;Arroyomolinos;3.0;1.0;62392.0;3469.0;A-2,M-40,R-5;3;si;64.75
Alcalá de Henares;Brunete;3.0;1.0;74192.0;3522.0;A-2,M-45,M-501;3;si;75.84
Alcalá de Henares;Buitrago del Lozoya;2.57;1.04;80134.0;3426.0;R-2,A-1;2;no;84.2
Alcalá de Henares;Bustarviejo;3.0;1.0;69126.0;3387.0;R-2,A-1,M-631;3;no;73.47
Alcalá de Henares;Camarma de Esteruelas;3.0;1.0;9944.0;925.0;Avenida de Daganzo,Avenida del Doctor Marañón,M-119;3;no;38.7
Alcalá de Henares;Campo Real;2.31;1.0;20814.0;1537.0;Cuesta de Zulema,M-300,M-219;3;no;48.75
Alcalá de Henares;Cercedilla;3.0;1.0;83984.0;4504.0;R-2,M-104,M-607;3;no;67.13
Alcalá de Henares;Chinchón;2.0;1.0;58232.0;3052.0;M-203,R-3,M-317;3;no;68.69
Alcalá de Henares;Ciempozuelos;0.0;1.0;61323.0;3126.0;A-2,M-50,A-4;3;si;70.62
Alcalá de Henares;Cobeña;2.67;1.0;18747.0;1301.0;M-100,M-114;2;no;51.87
Alcalá de Henares;Collado Villalba;2.86;1.14;70165.0;4111.0;A-2,A-6;2;si;61.44
Alcalá de Henares;Colmenar Viejo;3.0;1.0;54944.0;2894.0;R-2,A-1,M-104;3;no;68.35
Alcalá de Henares;Colmenarejo;2.5;1.0;65877.0;4422.0;A-2,A-6,M-505;3;si;53.63
Alcalá de Henares;Corpa;3.0;1.0;14356.0;1176.0;M-300,M-204,M-233;3;no;43.95
Alcalá de Henares;Coslada;3.02;1.52;21799.0;1619.0;M-300,A-2,Avenida de la Constitución;3;si;48.47
Alcalá de Henares;Daganzo de Arriba;3.5;1.25;12620.0;1072.0;M-134,M-100,M-118;3;no;42.38
Alcalá de Henares;El Boalo;3.0;1.0;73763.0;3875.0;R-2,M-104,M-607;3;no;68.53
Alcalá de Henares;El Escorial;3.0;1.0;75198.0;4960.0;A-2,A-6,M-505;3;si;54.58
Alcalá de Henares;El Molar;3.0;1.0;47348.0;2191.0;R-2,A-1;2;no;77.8
Alcalá de Henares;Fuenlabrada;2.0;1.14;56824.0;2759.0;A-2,M-50;2;si;74.15
Alcalá de Henares;Fuente el Saz de Jarama;4.0;2.0;26961.0;1830.0;M-100,M-103;2;no;53.04
Alcalá de Henares;Fuentidueña de Tajo;2.33;1.0;57570.0;3252.0;M-220,M-220,A-3;3;si;63.73
Alcalá de Henares;Galapagar;1.5;1.0;64205.0;4311.0;A-2,A-6,M-505;3;si;53.62
Alcalá de Henares;Getafe;3.21;1.4;46489.0;2443.0;A-2,M-50,M-45;3;si;68.51
Alcalá de Henares;Guadarrama;2.71;1.0;77263.0;4473.0;A-2,A-6;2;si;62.18
Alcalá de Henares;Hoyo de Manzanares;2.56;1.11;67889.0;4246.0;A-2,A-6;2;si;57.56
Alcalá de Henares;Las Rozas de Madrid;2.67;1.17;127699.0;6131.0;A-2,M-45,M-501;3;si;74.98
Alcalá de Henares;Leganés;2.29;1.24;47496.0;2490.0;A-2,M-50,M-45;3;si;68.67
Alcalá de Henares;Loeches;2.73;1.0;15214.0;1075.0;M-300;1;no;50.95
Alcalá de Henares;Los Santos de la Humosa;3.0;1.0;15042.0;1121.0;A-2,M-226;2;si;48.31
Alcalá de Henares;Madrid;25.5;12.04;32789.0;2328.0;M-300,A-2;2;si;50.7
Alcalá de Henares;Majadahonda;2.55;1.0;49808.0;3478.0;M-300,A-2,A-6;3;si;51.56
Alcalá de Henares;Meco;2.76;1.12;10275.0;1135.0;Avenida de Meco,Carretera de Meco,M-121;3;no;32.59
Alcalá de Henares;Mejorada del Campo;2.27;1.27;17044.0;1219.0;M-300,M-203;2;no;50.34
Alcalá de Henares;Miraflores de la Sierra;3.0;1.0;72660.0;3504.0;R-2,A-1,M-608;3;no;74.65
Alcalá de Henares;Móstoles;3.63;1.6;53372.0;3240.0;A-2,M-40,R-5;3;si;59.3
Alcalá de Henares;Navalcarnero;1.5;1.0;74554.0;3267.0;A-2,M-45,A-5;3;si;82.15
Alcalá de Henares;Navas del Rey;3.0;1.0;96619.0;4301.0;A-2,M-45,M-501;3;si;80.87
Alcalá de Henares;Paracuellos de Jarama;2.33;1.0;20919.0;1550.0;M-100,M-113;2;no;48.59
Alcalá de Henares;Parla;2.5;1.0;54555.0;2681.0;A-2,M-50;2;si;73.26
Alcalá de Henares;Perales de Tajuña;3.0;1.0;33239.0;2366.0;M-220,M-220;2;no;50.57
Alcalá de Henares;Pezuela de las Torres;3.0;1.0;21896.0;1622.0;M-204,M-233,M-225;3;no;48.6
Alcalá de Henares;Pinto;3.2;1.3;47971.0;2392.0;A-2,M-50;2;si;72.2
Alcalá de Henares;Pozuelo de Alarcón;2.65;1.0;44117.0;3321.0;M-300,A-2,M-503;3;si;47.82
Alcalá de Henares;Rivas-Vaciamadrid;2.93;1.17;35875.0;1879.0;M-300,A-2,M-50;3;si;68.73
Alcalá de Henares;San Fernando de Henares;2.86;1.14;20056.0;1375.0;M-300,A-2;2;si;52.51
Alcalá de Henares;San Lorenzo de El Escorial;2.5;1.0;86306.0;4952.0;A-2,A-6,M-600;3;si;62.74
Alcalá de Henares;San Martín de la Vega;3.0;1.0;44280.0;2930.0;M-300,M-506;2;no;54.41
Alcalá de Henares;San Sebastián de los Reyes;2.73;1.31;31040.0;1844.0;M-100,R-2,M-50;3;si;60.6
Alcalá de Henares;Sevilla la Nueva;0.0;1.0;78953.0;3747.0;A-2,M-45,M-501;3;si;75.86
Alcalá de Henares;Soto del Real;3.0;1.0;65369.0;3383.0;R-2,A-1,M-104;3;no;69.56
Alcalá de Henares;Talamanca de Jarama;2.67;1.0;40502.0;2576.0;M-100,M-103;2;no;56.6
Alcalá de Henares;Tielmes;2.0;1.0;31878.0;2301.0;M-220,M-224;2;no;49.87
Alcalá de Henares;Torrejón de Ardoz;6.92;3.33;13635.0;1088.0;M-300,A-2;2;si;45.12
Alcalá de Henares;Torrelodones;3.5;1.0;58788.0;3624.0;A-2,A-6;2;si;58.4
Alcalá de Henares;Torres de la Alameda;2.0;1.0;10961.0;916.0;M-300,M-220;2;no;43.08
Alcalá de Henares;Tres Cantos;3.0;1.0;47812.0;2611.0;R-2,M-40,M-607;3;si;65.92
Alcalá de Henares;Valdemoro;3.75;1.6;53499.0;2562.0;A-2,M-50,A-4;3;si;75.17
Alcalá de Henares;Valdilecha;2.0;1.0;25501.0;1866.0;M-220,M-224;2;no;49.2
Alcalá de Henares;Velilla de San Antonio;2.12;1.0;21944.0;1548.0;M-300,M-203;2;no;51.03
Alcalá de Henares;Villalbilla;2.5;1.0;9914.0;873.0;M-300,M-204;2;no;40.88
Alcalá de Henares;Villanueva de la Cañada;3.0;1.0;67574.0;4200.0;A-2,M-40,M-503;3;si;57.92
Alcalá de Henares;Villarejo de Salvanés;1.8;1.0;42953.0;3050.0;M-220,M-224,M-228;3;no;50.7
Alcobendas;Alameda del Valle;4.0;1.0;77629.0;3682.0;A-1,M-604;2;no;75.9
Alcobendas;Alcalá de Henares;2.74;1.15;31800.0;2102.0;M-50,R-2,Avenida de Daganzo;3;si;54.46
Alcobendas;Alcorcón;2.32;1.21;35523.0;2188.0;A-1,M-30,M-40;3;si;58.45
Alcobendas;Algete;2.0;1.0;15614.0;1290.0;Antigua Carretera de Burgos,M-100,M-106;3;no;43.57
Alcobendas;Aranjuez;2.5;1.2;64105.0;3542.0;M-30,A-4;2;no;65.15
Alcobendas;Arganda del Rey;3.0;1.0;42413.0;2500.0;M-30,A-3;2;si;61.07
Alcobendas;Arroyomolinos;2.33;1.0;49380.0;2742.0;A-1,M-30,R-5;3;no;64.83
Alcobendas;Berzosa del Lozoya;3.0;1.0;77238.0;3817.0;A-1,M-127;2;no;72.85
Alcobendas;Boadilla del Monte;2.83;1.0;31240.0;2233.0;M-40,M-513;2;si;50.36
Alcobendas;Brunete;3.0;1.0;41394.0;2838.0;M-40,M-513;2;si;52.51
Alcobendas;Buitrago del Lozoya;2.75;1.2;61523.0;2678.0;A-1;1;no;82.7
Alcobendas;Chinchón;3.0;1.0;59337.0;3399.0;M-30,A-3,M-311;3;si;62.85
Alcobendas;Collado Villalba;2.57;1.0;49006.0;2748.0;M-40,A-6;2;si;64.2
Alcobendas;Colmenar Viejo;2.33;1.0;21198.0;1327.0;M-616,M-607;2;no;57.51
Alcobendas;Coslada;2.52;1.05;20161.0;1475.0;M-12,M-40,M-201;3;si;49.21
Alcobendas;Daganzo de Arriba;2.0;1.0;22058.0;1620.0;M-50,M-113;2;si;49.02
Alcobendas;El Boalo;3.0;1.0;40632.0;2299.0;M-607;1;no;63.63
Alcobendas;El Escorial;3.0;1.0;54039.0;3597.0;M-40,M-505;2;si;54.08
Alcobendas;El Molar;2.73;1.13;28737.0;1444.0;A-1;1;no;71.64
Alcobendas;El Álamo;3.0;1.0;60114.0;3110.0;A-1,M-30,R-5;3;no;69.59
Alcobendas;Fuenlabrada;2.0;1.0;43285.0;2571.0;A-1,M-30,A-42;3;si;60.61
Alcobendas;Fuentidueña de Tajo;3.0;1.0;77228.0;3590.0;A-3;1;si;77.44
Alcobendas;Galapagar;3.0;1.0;43241.0;2935.0;M-40,A-6,M-505;3;si;53.04
Alcobendas;Getafe;2.86;1.0;34299.0;2135.0;M-30,A-42;2;si;57.83
Alcobendas;Guadalix de la Sierra;2.0;1.0;45167.0;2101.0;A-1;1;no;77.39
Alcobendas;Guadarrama;2.0;1.0;56104.0;3110.0;M-40,A-6;2;si;64.94
Alcobendas;La Cabrera;2.5;1.0;45845.0;2157.0;A-1;1;no;76.51
Alcobendas;Las Rozas de Madrid;2.52;1.1;103229.0;5319.0;M-40,M-501;2;si;69.87
Alcobendas;Lozoya;3.0;1.0;71034.0;3277.0;A-1;1;no;78.04
Alcobendas;Lozoyuela-Navas-Sieteiglesias;3.0;1.0;53371.0;2349.0;A-1;1;no;81.79
Alcobendas;Madrid;8.7;3.97;18260.0;1564.0;A-1,M-30,Calle de Alcalá;3;no;42.03
Alcobendas;Mejorada del Campo;3.0;1.0;34038.0;1982.0;A-1,M-30,R-3;3;no;61.82
Alcobendas;Móstoles;2.26;1.05;40360.0;2513.0;A-1,M-30,R-5;3;no;57.82
Alcobendas;Navalcarnero;2.27;1.0;54541.0;2850.0;M-30,M-40,A-5;3;si;68.89
Alcobendas;Paracuellos de Jarama;2.4;1.0;19035.0;1295.0;M-50,M-113;2;si;52.92
Alcobendas;Parla;3.25;1.0;42615.0;2502.0;M-30,A-42;2;si;61.32
Alcobendas;Pinto;2.8;1.0;37634.0;2253.0;M-30,A-4;2;no;60.13
Alcobendas;Pozuelo de Alarcón;1.75;1.0;24447.0;2002.0;A-1,M-40;2;si;43.96
Alcobendas;Rivas-Vaciamadrid;2.2;1.0;34068.0;2008.0;M-30,A-3;2;si;61.08
Alcobendas;San Lorenzo de El Escorial;3.0;1.0;65147.0;3589.0;M-40,A-6,M-600;3;si;65.35
Alcobendas;San Sebastián de los Reyes;3.24;1.36;2381.0;317.0;Calle de Ruperto Chapí,Avenida de España,Avenida de la Sierra;3;no;27.04
Alcobendas;Somosierra;3.0;1.0;78156.0;3217.0;A-1;1;no;87.46
Alcobendas;Soto del Real;3.0;1.0;32238.0;1807.0;M-616,M-607,M-609;3;no;64.23
Alcobendas;Talamanca de Jarama;3.0;1.0;30875.0;2021.0;Antigua Carretera de Burgos,M-111,M-103;3;no;55.0
Alcobendas;Torrejón de Ardoz;2.17;1.0;26834.0;1679.0;M-50,M-108;2;si;57.54
Alcobendas;Torrelaguna;3.0;1.0;45446.0;2226.0;A-1;1;no;73.5
Alcobendas;Torrelodones;2.5;1.5;37629.0;2261.0;M-40,A-6;2;si;59.91
Alcobendas;Tres Cantos;1.6;1.1;12616.0;930.0;M-616,M-607;2;no;48.84
Alcobendas;Valdemorillo;3.0;1.0;49455.0;3011.0;M-40,M-503;2;si;59.13
Alcobendas;Valdemoro;2.38;1.0;43158.0;2499.0;M-30,A-4;2;no;62.17
Alcobendas;Velilla de San Antonio;1.0;1.0;33820.0;1952.0;A-1,M-30,R-3;3;no;62.37
Alcobendas;Venturada;2.5;1.0;38259.0;1790.0;A-1;1;no;76.95
Alcobendas;Villanueva de la Cañada;2.0;1.0;45176.0;2795.0;M-40,M-503;2;si;58.19
Alcorcón;Alcalá de Henares;2.62;1.15;48306.0;2920.0;M-40,A-2;2;si;59.56
Alcorcón;Alcobendas;2.62;1.14;37450.0;2073.0;M-40,M-30,A-1;3;si;65.04
Alcorcón;Algete;2.0;1.0;51683.0;2630.0;M-40,M-30,A-1;3;si;70.74
Alcorcón;Aranjuez;2.94;1.11;50314.0;2558.0;M-45,A-4,M-305;3;no;70.81
Alcorcón;Arganda del Rey;2.82;1.0;42194.0;2141.0;M-45,A-3;2;si;70.95
Alcorcón;Arroyomolinos;4.25;1.38;17568.0;958.0;A-5,M-413;2;si;66.02
Alcorcón;Boadilla del Monte;2.92;1.23;12036.0;824.0;A-5,M-50;2;si;52.58
Alcorcón;Brunete;3.0;1.0;20563.0;1185.0;A-5,M-506,M-501;3;si;62.47
Alcorcón;Buitrago del Lozoya;3.0;1.0;95355.0;4070.0;M-30,A-1;2;no;84.34
Alcorcón;Collado Villalba;2.88;1.12;43975.0;1983.0;M-50,A-6;2;si;79.83
Alcorcón;Colmenar Viejo;3.0;1.25;46614.0;2911.0;A-5,M-30,M-607;3;si;57.65
Alcorcón;Coslada;3.4;1.2;28247.0;1719.0;M-40;1;si;59.16
Alcorcón;El Álamo;3.0;1.0;26287.0;1263.0;A-5;1;si;74.93
Alcorcón;Fresnedillas de la Oliva;2.0;1.0;45074.0;2675.0;M-506,M-501,M-521;3;no;60.66
Alcorcón;Fuenlabrada;3.31;1.47;10956.0;855.0;Avenida de Móstoles,M-506;2;no;46.13
Alcorcón;Galapagar;3.0;1.0;36688.0;2063.0;M-50,M-505;2;si;64.02
Alcorcón;Getafe;3.51;1.46;14984.0;946.0;E-90,M-40,M-45;3;si;57.02
Alcorcón;Guadarrama;2.0;1.0;51073.0;2346.0;M-50,A-6;2;si;78.37
Alcorcón;Hoyo de Manzanares;3.0;1.0;41821.0;2117.0;M-50,A-6;2;si;71.12
Alcorcón;La Cabrera;2.33;1.0;79677.0;3548.0;M-30,A-1;2;no;80.84
Alcorcón;Las Rozas de Madrid;2.71;1.14;75808.0;3775.0;M-501;1;no;72.29
Alcorcón;Leganés;2.43;1.16;7649.0;975.0;Avenida de Leganés,M-406,Avenida de la Universidad;3;no;28.24
Alcorcón;Madrid;6.26;3.06;15205.0;1332.0;A-5,Avenida de Portugal;2;si;41.09
Alcorcón;Majadahonda;2.5;1.14;22185.0;1221.0;A-5,M-50;2;si;65.41
Alcorcón;Móstoles;4.24;1.84;5140.0;630.0;Avenida de Móstoles,Avenida de Portugal,Avenida de la Constitución;3;no;29.37
Alcorcón;Navalcarnero;4.15;1.48;20835.0;968.0;A-5;1;si;77.49
Alcorcón;Navas del Rey;3.0;1.0;42900.0;2002.0;M-501;1;no;77.14
Alcorcón;Parla;3.0;1.0;19672.0;1310.0;Avenida de Móstoles,M-50,A-42;3;si;54.06
Alcorcón;Perales de Tajuña;3.0;1.0;53480.0;2419.0;M-45,A-3;2;si;79.59
Alcorcón;Pinto;3.12;1.12;23843.0;1268.0;E-90,M-45,A-4;3;no;67.69
Alcorcón;Pozuelo de Alarcón;1.5;1.75;17268.0;1042.0;E-90,M-40;2;si;59.66
Alcorcón;Rivas-Vaciamadrid;2.0;1.08;33849.0;1650.0;M-45,A-3;2;si;73.85
Alcorcón;San Fernando de Henares;2.5;1.0;33576.0;1821.0;M-45;1;no;66.38
Alcorcón;San Lorenzo de El Escorial;4.0;1.0;51556.0;3002.0;M-50,M-503,M-600;3;si;61.83
Alcorcón;San Martín de Valdeiglesias;3.0;1.0;61322.0;3030.0;M-501;1;no;72.86
Alcorcón;San Martín de la Vega;3.0;1.0;36028.0;1925.0;M-45,M-301;2;no;67.38
Alcorcón;San Sebastián de los Reyes;2.62;1.08;38099.0;2147.0;M-40,M-30,A-1;3;si;63.88
Alcorcón;Somosierra;3.0;1.0;111988.0;4608.0;A-1;1;no;87.49
Alcorcón;Torrejón de Ardoz;1.33;1.0;41538.0;2021.0;M-45,M-50;2;si;73.99
Alcorcón;Torrelodones;2.75;1.0;32598.0;1496.0;A-5,M-50;2;si;78.44
Alcorcón;Tres Cantos;2.4;1.0;38032.0;2514.0;A-5,M-30,M-607;3;si;54.46
Alcorcón;Valdemorillo;0.0;1.0;38236.0;2069.0;M-50,M-503,M-600;3;si;66.53
Alcorcón;Valdemoro;3.3;1.1;29367.0;1515.0;M-45,A-4;2;no;69.78
Alcorcón;Villanueva de la Cañada;2.62;1.08;25374.0;1642.0;M-506,M-501,M-600;3;no;55.63
Alcorcón;Villarejo de Salvanés;3.0;1.0;64671.0;2796.0;M-45,A-3;2;si;83.27
Alcorcón;Villaviciosa de Odón;2.56;1.19;9247.0;699.0;A-5,M-506,Avenida Príncipe de Asturias;3;si;47.62
Aldea del Fresno;Madrid;4.0;1.0;52964.0;3143.0;M-507,A-5;2;si;60.67
Aldea del Fresno;Navalcarnero;3.5;1.0;17996.0;1340.0;M-507;1;no;48.35
Aldea del Fresno;Villamanta;4.0;1.0;8683.0;555.0;M-507;1;no;56.32
Algete;Ajalvir;3.0;1.0;9336.0;698.0;M-103,M-118,M-114;3;no;48.15
Algete;Alcalá de Henares;2.2;1.1;23608.0;1663.0;M-103,M-100,Avenida de Daganzo;3;no;51.11
Algete;Alcobendas;2.5;1.0;15080.0;1219.0;M-106,M-100,Antigua Carretera de Burgos;3;no;44.53
Algete;Alcorcón;2.0;1.0;49988.0;2753.0;A-1,M-30,M-40;3;si;65.37
Algete;Aranjuez;2.33;1.0;82691.0;3710.0;M-50,A-4;2;si;80.24
Algete;Brunete;3.0;1.0;55859.0;3404.0;A-1,M-40,M-513;3;si;59.08
Algete;Buitrago del Lozoya;2.0;1.0;59187.0;2444.0;A-1;1;no;87.18
Algete;Bustarviejo;3.0;1.0;48179.0;2406.0;A-1,M-631;2;no;72.09
Algete;Collado Villalba;2.0;1.0;63471.0;3314.0;A-1,M-40,A-6;3;si;68.95
Algete;Coslada;3.0;1.0;31223.0;1717.0;M-106,M-111,M-50;3;si;65.46
Algete;El Molar;3.0;1.0;26401.0;1209.0;M-106,A-1;2;no;78.61
Algete;Fuenlabrada;0.0;1.0;57750.0;3136.0;A-1,M-30,A-42;3;si;66.29
Algete;Getafe;3.0;1.0;48764.0;2701.0;A-1,M-30,A-42;3;si;64.99
Algete;Guadalix de la Sierra;0.0;1.0;41997.0;1910.0;A-1,M-608;2;no;79.16
Algete;Las Rozas de Madrid;2.0;1.0;117694.0;5884.0;M-40,M-501;2;si;72.01
Algete;Lozoyuela-Navas-Sieteiglesias;2.0;1.0;51035.0;2114.0;A-1;1;no;86.91
Algete;Madrid;3.12;1.19;32725.0;2129.0;M-106,A-1,M-30;3;no;55.34
Algete;Paracuellos de Jarama;2.0;1.0;16087.0;1090.0;M-106,M-111;2;no;53.13
Algete;Parla;3.0;1.0;62800.0;2786.0;M-50;1;si;81.15
Algete;Rivas-Vaciamadrid;3.0;1.0;44120.0;1984.0;M-111,M-50;2;si;80.06
Algete;San Sebastián de los Reyes;2.92;1.23;13332.0;990.0;M-106,M-100,Antigua Carretera de Burgos;3;no;48.48
Algete;Sevilla la Nueva;3.0;1.0;67120.0;3557.0;A-1,M-40,M-501;3;si;67.93
Algete;Somosierra;0.0;1.0;75820.0;2982.0;A-1;1;no;91.53
Algete;Talamanca de Jarama;3.0;1.0;18398.0;1210.0;M-103;1;no;54.74
Algete;Torrejón de Ardoz;3.0;1.0;20945.0;1427.0;M-103,M-100,M-108;3;no;52.84
Algete;Torrelodones;2.0;1.0;52094.0;2827.0;A-1,M-40,A-6;3;si;66.34
Algete;Valdemoro;2.0;1.0;61744.0;2667.0;M-50,A-4;2;si;83.34
Alpedrete;Aranjuez;1.0;1.0;90281.0;3910.0;A-6,M-50,A-4;3;si;83.12
Alpedrete;Arganda del Rey;3.0;1.0;74031.0;3748.0;A-6,M-30,A-3;3;si;71.11
Alpedrete;Ciempozuelos;3.0;1.0;77158.0;3431.0;A-6,M-50;2;si;80.96
Alpedrete;Collado Villalba;2.25;1.0;4955.0;435.0;M-619,M-601,Calle Real;3;no;41.01
Alpedrete;El Molar;3.0;1.0;51882.0;3105.0;M-608,M-607,M-104;3;no;60.15
Alpedrete;Guadarrama;2.5;1.0;7010.0;645.0;M-619,N-VI;2;no;39.13
Alpedrete;Madrid;3.0;1.22;43009.0;2368.0;A-6;1;no;65.39
Alpedrete;Majadahonda;2.5;1.0;29097.0;1529.0;A-6,M-50;2;si;68.51
Alpedrete;Móstoles;2.0;1.0;46754.0;2128.0;A-6,M-50;2;si;79.1
Alpedrete;Torrelodones;3.0;1.0;14458.0;780.0;M-601,A-6;2;no;66.73
Alpedrete;Villarejo de Salvanés;3.0;1.0;96508.0;4403.0;A-6,A-3;2;si;78.91
Ambite;Campo Real;3.0;1.0;19792.0;1277.0;M-204,M-209;2;no;55.8
Ambite;Madrid;3.0;1.0;54905.0;3153.0;M-209,M-209,R-3;3;no;62.69
Anchuelo;Madrid;4.0;2.0;42226.0;2817.0;M-300,A-2;2;si;53.96
Aranjuez;Alameda del Valle;4.0;1.0;137939.0;6556.0;A-4,A-1,M-604;3;no;75.74
Aranjuez;Alcalá de Henares;3.06;1.26;73925.0;3714.0;M-305,A-4,M-50;3;si;71.66
Aranjuez;Alcobendas;3.4;1.2;63928.0;3556.0;M-305,A-4,M-30;3;no;64.72
Aranjuez;Alcorcón;3.06;1.12;49574.0;2652.0;A-4,M-50;2;si;67.3
Aranjuez;Algete;2.25;1.0;78650.0;3833.0;A-4,M-50;2;si;73.87
Aranjuez;Arganda del Rey;2.1;1.0;46729.0;3144.0;M-305,M-311,M-313;3;no;53.51
Aranjuez;Becerril de la Sierra;3.0;1.0;97743.0;4627.0;A-4,M-50,A-6;3;si;76.05
Aranjuez;Buitrago del Lozoya;4.5;1.5;121833.0;5553.0;A-4,A-1;2;no;78.98
Aranjuez;Cercedilla;2.5;1.0;104181.0;4958.0;A-4,M-50,A-6;3;si;75.65
Aranjuez;Chapinería;3.0;1.0;84789.0;3934.0;A-4,M-50,M-501;3;si;77.59
Aranjuez;Ciempozuelos;3.0;1.12;18755.0;1414.0;M-305,M-307;2;no;47.75
Aranjuez;Collado Villalba;2.83;1.17;88924.0;4021.0;A-4,M-50,A-6;3;si;79.61
Aranjuez;Colmenar Viejo;3.0;1.0;80486.0;4300.0;A-4,M-30,M-607;3;no;67.38
Aranjuez;Colmenar de Oreja;2.67;1.0;22573.0;1443.0;M-305,M-318;2;no;56.32
Aranjuez;Coslada;2.5;1.0;54485.0;2941.0;A-4,M-45;2;no;66.69
Aranjuez;Cubas de la Sagra;1.0;1.0;39384.0;2031.0;R-4,M-404;2;no;69.81
Aranjuez;El Boalo;2.0;1.0;100840.0;5171.0;A-4,M-50,A-6;3;si;70.2
Aranjuez;El Escorial;3.0;1.0;92630.0;4749.0;A-4,M-50,M-505;3;si;70.22
Aranjuez;Fuenlabrada;3.23;1.16;38699.0;2269.0;M-305,A-4,M-506;3;no;61.4
Aranjuez;Galapagar;2.0;1.0;81637.0;4100.0;A-4,M-50,M-505;3;si;71.68
Aranjuez;Getafe;3.5;1.35;37682.0;2148.0;M-305,A-4,M-506;3;no;63.15
Aranjuez;Guadarrama;3.0;1.0;96022.0;4383.0;A-4,M-50,A-6;3;si;78.87
Aranjuez;Las Rozas de Madrid;2.58;1.0;120766.0;5821.0;A-4,M-50,M-501;3;si;74.69
Aranjuez;Leganés;2.84;1.08;40852.0;2404.0;M-305,A-4,M-506;3;no;61.18
Aranjuez;Madrid;6.73;2.92;48202.0;3035.0;M-305,A-4;2;no;57.18
Aranjuez;Majadahonda;1.33;1.0;67134.0;3258.0;A-4,M-50;2;si;74.18
Aranjuez;Mejorada del Campo;3.0;1.0;53947.0;2706.0;A-4,M-50;2;si;71.77
Aranjuez;Moralzarzal;3.0;1.0;95575.0;4520.0;A-4,M-50,A-6;3;si;76.12
Aranjuez;Móstoles;2.43;1.14;48791.0;2632.0;A-4,M-50;2;si;66.74
Aranjuez;Navalcarnero;2.33;1.0;60954.0;3164.0;R-4,M-404,R-5;3;no;69.35
Aranjuez;Paracuellos de Jarama;3.0;1.0;70555.0;3277.0;A-4,M-50;2;si;77.51
Aranjuez;Parla;2.57;1.0;34639.0;2195.0;M-305,A-4;2;no;56.81
Aranjuez;Pinto;2.94;1.34;27971.0;1599.0;M-305,A-4;2;no;62.97
